,weight_removed,prop_correct,avg_loss,type
0,0.05000108480453491,0.922,0.2092346188761294,modified_movement
1,0.1500011682510376,0.884,0.3547112376689911,modified_movement
2,0.25000137090682983,0.774,0.6709890681505203,modified_movement
3,0.35000157356262207,0.724,0.8520904425382614,modified_movement
4,0.4500008821487427,0.5325,1.193621839284897,modified_movement
5,0.5500009059906006,0.442,1.3434241576194763,modified_movement
6,0.6500004529953003,0.3545,1.525292013168335,modified_movement
7,0.7500006556510925,0.4155,1.4506777048110961,modified_movement
8,0.8500000238418579,0.3825,1.483170211315155,modified_movement
9,0.9499998092651367,0.374,1.538781065940857,modified_movement
10,0.05000030994415283,0.1185,4.423044479370117,negative_movement
11,0.1500004529953003,0.252,2.3754477486610415,negative_movement
12,0.25,0.347,1.8597168023586272,negative_movement
13,0.35000014305114746,0.3475,2.2212996973991395,negative_movement
14,0.44999992847442627,0.3435,2.67595822262764,negative_movement
15,0.5500000715255737,0.046,3.180391734600067,negative_movement
16,0.6499998569488525,0.0825,4.18290358543396,negative_movement
17,0.75,0.061,4.333709788322449,negative_movement
18,0.8499995470046997,0.08,3.7686369009017944,negative_movement
19,0.9499996900558472,0.1435,4.195532514572143,negative_movement
20,0.05000030994415283,0.033,3.3654210796356203,movement
21,0.1500004529953003,0.0505,3.5707667837142942,movement
22,0.25,0.345,2.130469794988632,movement
23,0.35000014305114746,0.3475,2.1149711785316465,movement
24,0.44999992847442627,0.3475,2.1112693088054657,movement
25,0.5500000715255737,0.3475,2.108440891981125,movement
26,0.6499998569488525,0.3475,2.0915876858234403,movement
27,0.75,0.3475,2.0853678233623505,movement
28,0.8499996066093445,0.3475,2.0444908392429353,movement
29,0.9499996900558472,0.3475,1.7853725922107697,movement
30,0.05000030994415283,0.92,0.20115950737148525,magnitude
31,0.1500004529953003,0.92,0.20068041857331992,magnitude
32,0.25,0.9185,0.20157772332802415,magnitude
33,0.35000014305114746,0.914,0.21973437387123704,magnitude
34,0.44999992847442627,0.9025,0.27489093550294635,magnitude
35,0.5500000715255737,0.8145,0.5767867708802223,magnitude
36,0.6500000357627869,0.679,1.1343071219921113,magnitude
37,0.75,0.526,1.425980828523636,magnitude
38,0.8499995470046997,0.386,1.573858759880066,magnitude
39,0.9499996900558472,0.373,1.5922025012969971,magnitude
40,0.05000036954879761,0.9165,0.21306999941915275,random
41,0.15000051259994507,0.8645,0.37517239387333395,random
42,0.2500000596046448,0.713,0.9191040683984757,random
43,0.35000014305114746,0.6895,1.085258840084076,random
44,0.44999998807907104,0.4475,1.344914475440979,random
45,0.5500000715255737,0.4775,1.5068158578872681,random
46,0.6499999761581421,0.442,1.5071349630355835,random
47,0.75,0.4185,1.4739462399482728,random
48,0.8499996662139893,0.3825,1.5360137209892273,random
49,0.9499997496604919,0.3755,1.546009985923767,random
